rxn_id	fva_lb	fva_ub	rxn_name	lb	ub	rxn_formula	fva_pct	fva_req	fva_on
E4	0.8	6	H2O exchange	-1000	1000	H2O[c] <==> 	18.75	TRUE	TRUE
E5	0.8	6	CO2 exchange	-1000	1000	CO2[c] <==> 	18.75	TRUE	TRUE
R1	0.1875	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	18.75	TRUE	TRUE
R2	0.266666667	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	18.75	TRUE	TRUE
R3	3.733333333	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	18.75	TRUE	TRUE
R4	6	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	18.75	TRUE	TRUE
R5	0	1.733333333	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	18.75	FALSE	TRUE
E1	-1	-0.25	glucose exchange	-1	1000	glucose[c] <==> 	25	TRUE	TRUE
E2	0	1.6	lactate exchange	0	1000	lactate[c] --> 	25	FALSE	TRUE
E3	-6	-1.2	O2 exchange	-1000	1000	O2[c] <==> 	25	TRUE	TRUE
E4	1.2	6	H2O exchange	-1000	1000	H2O[c] <==> 	25	TRUE	TRUE
E5	1.2	6	CO2 exchange	-1000	1000	CO2[c] <==> 	25	TRUE	TRUE
R1	0.25	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	25	TRUE	TRUE
R2	0.4	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	25	TRUE	TRUE
R3	5.6	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	25	TRUE	TRUE
R4	8	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	25	TRUE	TRUE
R5	0	1.6	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	25	FALSE	TRUE
E1	-1	-0.3125	glucose exchange	-1	1000	glucose[c] <==> 	31.25	TRUE	TRUE
E2	0	1.466666667	lactate exchange	0	1000	lactate[c] --> 	31.25	FALSE	TRUE
E3	-6	-1.6	O2 exchange	-1000	1000	O2[c] <==> 	31.25	TRUE	TRUE
E4	1.6	6	H2O exchange	-1000	1000	H2O[c] <==> 	31.25	TRUE	TRUE
E5	1.6	6	CO2 exchange	-1000	1000	CO2[c] <==> 	31.25	TRUE	TRUE
R1	0.3125	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	31.25	TRUE	TRUE
R2	0.533333333	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	31.25	TRUE	TRUE
R3	7.466666667	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	31.25	TRUE	TRUE
R4	10	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	31.25	TRUE	TRUE
R5	0	1.466666667	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	31.25	FALSE	TRUE
E1	-1	-0.375	glucose exchange	-1	1000	glucose[c] <==> 	37.5	TRUE	TRUE
E2	0	1.333333333	lactate exchange	0	1000	lactate[c] --> 	37.5	FALSE	TRUE
E3	-6	-2	O2 exchange	-1000	1000	O2[c] <==> 	37.5	TRUE	TRUE
E4	2	6	H2O exchange	-1000	1000	H2O[c] <==> 	37.5	TRUE	TRUE
E5	2	6	CO2 exchange	-1000	1000	CO2[c] <==> 	37.5	TRUE	TRUE
R1	0.375	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	37.5	TRUE	TRUE
R2	0.666666667	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	37.5	TRUE	TRUE
R3	9.333333333	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	37.5	TRUE	TRUE
R4	12	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	37.5	TRUE	TRUE
R5	0	1.333333333	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	37.5	FALSE	TRUE
E1	-1	-0.4375	glucose exchange	-1	1000	glucose[c] <==> 	43.75	TRUE	TRUE
E2	0	1.2	lactate exchange	0	1000	lactate[c] --> 	43.75	FALSE	TRUE
E3	-6	-2.4	O2 exchange	-1000	1000	O2[c] <==> 	43.75	TRUE	TRUE
E4	2.4	6	H2O exchange	-1000	1000	H2O[c] <==> 	43.75	TRUE	TRUE
E5	2.4	6	CO2 exchange	-1000	1000	CO2[c] <==> 	43.75	TRUE	TRUE
R1	0.4375	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	43.75	TRUE	TRUE
R2	0.8	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	43.75	TRUE	TRUE
R3	11.2	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	43.75	TRUE	TRUE
R4	14	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	43.75	TRUE	TRUE
R5	0	1.2	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	43.75	FALSE	TRUE
E1	-1	-0.5	glucose exchange	-1	1000	glucose[c] <==> 	50	TRUE	TRUE
E2	0	1.066666667	lactate exchange	0	1000	lactate[c] --> 	50	FALSE	TRUE
E3	-6	-2.8	O2 exchange	-1000	1000	O2[c] <==> 	50	TRUE	TRUE
E4	2.8	6	H2O exchange	-1000	1000	H2O[c] <==> 	50	TRUE	TRUE
E5	2.8	6	CO2 exchange	-1000	1000	CO2[c] <==> 	50	TRUE	TRUE
R1	0.5	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	50	TRUE	TRUE
R2	0.933333333	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	50	TRUE	TRUE
R3	13.066666667	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	50	TRUE	TRUE
